Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,62,12514,6619,4074,413,2183,886,3712,25594,208,676
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE,62,12514,6619,4074,413,2183,886,3712,25594,208,676
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Audio,5,520,266,144,35,112,8,142,475,14,22
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Core,7,671,330,190,17,151,25,190,657,21,33
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\External,7,4266,1929,1268,1,442,717,1895,20052,54,434
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\External\Include,7,4266,1929,1268,1,442,717,1895,20052,54,434
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\External\Include\FMOD,7,4266,1929,1268,1,442,717,1895,20052,54,434
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Graphics,13,1731,975,540,71,356,66,400,1308,42,66
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Input,4,978,621,404,87,169,19,188,634,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Misc,5,567,314,178,39,110,18,143,522,14,22
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Resource,5,441,204,110,26,95,8,142,660,14,22
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Utility,5,457,220,119,20,105,8,132,432,7,11
